C. Functionality,Result
Forms are submitting data properly,PassFailN/A
Thank-you message/page displays functional,PassFailN/A
Form data is being emailed in company database,PassFailN/A
Auto responders are working properly,PassFailN/A
Internal links in web pages are working properly,PassFailN/A
External links in web pages are working properly,PassFailN/A
Social media share icons are working properly,PassFailN/A
Feeds are working properly,PassFailN/A
Company logo is linked to the homepage,PassFailN/A
Load time for site pages are optimized,PassFailN/A
404 Redirect pages are in place,PassFailN/A
Integration with third-party tools are running,PassFailN/A
External links in web pages can open in new tab,PassFailN/A
